,Station,General,North_Lati,West_Longi,Distance from station 36,utm_x,utm_y
0,657,Rio Vista,38.148333,-121.688333,145.79,614930.9127,4223085.778
1,655,N. of Three Mile Slough,38.121667,-121.701667,142.62,613803.9237,4220110.439
2,653,Mid-Decker Island,38.105,-121.72,140.17,612222.4055,4218238.728
3,649,Sacramento River,38.061667,-121.8,131.67,605270.3733,4213336.827
4,2,Chain Island,38.063333,-121.855,126.58,600443.044,4213460.801
5,3,Pittsburg,38.05,-121.878333,124.06,598413.9906,4211956.428
6,4,Simmons Point,38.048333,-121.935,119.08,593444.0588,4211712.977
7,5,Middle Ground,38.06,-121.98,114.93,589481.4077,4212963.233
8,6,Roe Island,38.065,-122.035,110.07,584650.5548,4213466.486
9,7,Avon Pier,38.048333,-122.096667,104.35,579258.9398,4211562.79
10,411,Garnet Sill,38.096667,-122.058333,off linear transect,582568.0999,4216959.169
11,8,Martinez,38.03,-122.151667,99.11,574451.6809,4209483.168
12,9,Benicia,38.05,-122.173333,96.19,572530.4588,4211685.157
13,10,Crockett,38.06,-122.208333,92.93,569450.1146,4212767.981
14,11,Mare Island,38.061667,-122.263333,88.1,564623.6283,4212913.269
15,12,Pinole Shoal,38.051667,-122.311667,83.71,560391.7261,4211771.209
16,13,N. of Pinole Point,38.028333,-122.37,77.98,555291.3004,4209145.904
17,14,Echo Buoy,38.006667,-122.405,74.08,552234.9098,4206721.747
18,15,Point San Pablo,37.975,-122.436667,69.6,549476.1134,4203190.887
19,16,Charlie Buoy,37.915,-122.446667,62.88,548637.3661,4196528.482
20,17,Raccoon Strait,37.881667,-122.426667,58.79,550418.0917,4192840.756
21,18,Point Blunt,37.846667,-122.421667,54.88,550881.848,4188960.188
22,19,Golden Gate,37.818333,-122.471667,off linear transect,546500.5864,4185790.461
23,20,Blossom Rock,37.82,-122.393333,51.01,553393.9177,4186017.288
24,21,Bay Bridge,37.788333,-122.358333,46.63,556498.4856,4182524.408
25,22,Potrero Point,37.765,-122.358333,43.92,556516.2467,4179935.621
26,23,Hunter's Point,37.728333,-122.336667,39.66,558453.3827,4175880.758
27,24,Candlestick Point,37.698333,-122.338333,37.09,558330.0858,4172551.263
28,25,Oyster Point,37.67,-122.325,32.84,559528.1268,4169416.155
29,26,San Bruno Shoal,37.635,-122.313333,28.76,560585.4801,4165540.463
30,27,San Francisco Airport,37.618333,-122.291667,26.19,562511.0802,4163705.517
31,28,N. of San Mateo Bridge,37.601667,-122.27,23.57,564437.6185,4161871.125
32,29,S. of San Mateo Bridge,37.58,-122.245,20.25,566663.7431,4159484.69
33,30,Redwood Creek,37.555,-122.19,14.75,571544.032,4156751.472
34,31,Coyote Hills,37.528333,-122.158333,10.61,574367.5863,4153817.436
35,32,Ravenswood Point,37.518333,-122.133333,8.15,576586.7893,4152728.034
36,33,Dumbarton Bridge,37.508333,-122.121667,6.81,577628.0846,4151628.132
37,34,Newark Slough,37.495,-122.093333,3.53,580146.5817,4150172.639
38,35,Mowry Slough,37.48,-122.08,1.66,581341.4684,4148519.884
39,36,Calaveras Point,37.471667,-122.065,,582676.8987,4147608.435
40,DMB,Dumbarton Bridge,37.504167,-122.119444,,577828.8852,4151167.767
41,SMB,San Mateo Bridge,37.58444444,-122.2488889,,566316.4196,4159975.033
42,S1,SB_Trans,37.599819,-122.344409,off linear transect,557870.86,4161617.6
43,S2,SB_Trans,37.626381,-122.302621,off linear transect,561537.74,4164591.22
44,S3,SB_Trans,37.657575,-122.234481,off linear transect,567522.33,4168099.0
45,S4,SB_Trans,37.674115,-122.194265,off linear transect,571053.88,4169963.76
46,S5,SB_Trans,37.503263,-122.149691,off linear transect,575156.36,4151042.88
47,S6,SB_Trans,37.518396,-122.136516,off linear transect,576305.42,4152732.41
48,S7,SB_Trans,37.527478,-122.127087,off linear transect,577129.34,4153747.73
49,S8,SB_Trans,37.537315,-122.118206,off linear transect,577903.85,4154846.4
50,S9,SB_Trans,37.461735,-122.097184,off linear transect,579841.55,4146478.76
51,S10,SB_Trans,37.475759,-122.087009,off linear transect,580726.34,4148043.34
52,S11,SB_Trans,37.48355,-122.081078,off linear transect,581242.32,4148912.81
53,S12,SB_Trans,37.492317,-122.069064,off linear transect,582294.9,4149895.95
54,SHL,SFEI Shoal Mooring,37.63079,-122.2432,off linear transect,566777.25,4165120.97
55,SLM,San Leandro Marina,37.6742,-122.2178,off linear transect,568978.32,4169955.61
56,HYW,Hayward,37.61174,-122.2012,off linear transect,570501.23,4163038.138
57,D28A,DWR,37.9705,-121.573,DWR,625340.1391,4203502.377
58,D12,DWR,38.0216,-121.8063,DWR,604774.7705,4208883.925
59,D41,DWR,38.0302,-122.3729,DWR,555035.3856,4209351.336
60,D19,DWR,38.0438,-121.6148,DWR,621547.3661,4211580.304
61,D6,DWR,38.0444,-122.1178,DWR,577408.824,4211108.59
62,D10,DWR,38.0463,-121.9183,DWR,594911.9988,4211504.32
63,D8,DWR,38.0599,-121.99,DWR,588604.2374,4212942.556
